"spoe","Sozialdemokratische Partei Österreich","SPÖ"
"vgoeal","Grün-Alternative Liste Steiermark","VGÖAL"
"gsl","Grüne-steirische Liste","GSL"
"gesh","Gesunde Heimat","Ges.H"
"ush","Unabhängige steirische Heimatliste","USH"
"wpl","Freie steirische Wahlgemeinschaft der Parteilosen","WPL"
"fritz3","Bürgerforum Tirol - Liste Fritz","FRITZ"
"gurgiser","Gurgiser & Team - Bürgerklub Tirol","GURGISER"
"vorwaerts","vorwärts Tirol","VORWÄRTS"
"ft","Für Tirol","FT"
"du3","Die Unabhängigen Tiroler","DU"
"tab","Tiroler Landesliste Dr. Steidl","TAB"
"lat","Liste für ein anderes Tirol","LAT"
"ms","Liste Tiroler Mittelstand","MS"
"mt","Mensch und Tier","MT"
"fth","Freie Tiroler Heimatliste","FTH"
"lbl","Liste Burgenland","LBL"
"oebwp","Österreichische Bürger- und Wirtschaftspartei","ÖBWP"
"bib","Bürgerinitiative Burgenland","BIB"
"bi","Burgenland-Initiative mit Matysek","BI"
"www","Wir wollen Wahlfreiheit - Liste Pollischansky","WWW"
"andas","Wien Anders - KPÖ, Piraten, Echt Grün und Unabhängige","ANDAS"
"gfw","Gemeinsam für Wien","GfW"
"wiff","Wir für Floridsdorf","WIFF"
"freie","Freidemokraten","FREIE"
"dem","Plattform Direkte Demokratie","DEM"
"bch","Bill Clinton - Handy Börse Fanclub","BCH"
"brw","Bewegung Rotes Wien","BRW"
"fdw","Freie Demokraten Wien","FDW"
"dp2","Donaustadt-Partei","DP"
"sos","SOS - Bürgerprotestliste Das Boot ist übervoll","SOS"
"alw","Alternative Liste Wien","ALW"
"kb","Kommunistischer Bund","KB"
"rsa","Radikale Sozialistische Arbeiterbewegung","RSA"
"pu","Patriotische Union","PU"
"dp","Demokratische Partei","DP"
"cvp","Christliche Volkspartei","CVP"
"wvg","Wahlvereinigung der Verstaatlichungsgegner","WVG"
"nsap","Nationalsoziale Arbeiterpartei","NSAP"
"kwg","Kärntner Wahlgemeinschaft","KWG"
"kel","Kärntner Einheitsliste","KEL"
"rp","Reformpartei","RP"
"lpk","Liste Parteiloser Kandidaten","LPK"
"el","Einheitsliste","EL"
"d","Demokratie 99","D"
"gpoe","Gaddafi Partei Österreich","GPÖ"
"fpk","Die Freiheitlichen in Kärnten","FPK"
"asok","Allianz Soziales Kärnten","ASOK"
"lpoe2","Lebenswerte Partei Österreichs","LPÖ"
"ju","Liste Dr. Dorner-Junge Union","JU"
"dfc","Demokratische Front des werktätigen Volkes","DFC"
"pfd","Parteifreie Demokraten","PFD"
