Kategorie;Min;Max;Range;Mean;Q1;Median;Q3

FPÖ-Wähler;166;1443;1277;522;311.25;427;616
1-Personen-Haushalte;60;1503;1443;255.03;123.75;176;237
30-44-Jahre; 152;1591;1439;486.33;272.75;406;521.25
